Kommune-nummer,Kommune-navn,Antall Barnehagebarn
3338,Nore og Uvdal,80
5045,Grong,79
1812,Sømna,79
4217,Åmli,78
4024,Hjartdal,77
3318,Krødsherad,76
3454,Vang,74
5538,Storfjord,73
1828,Nesna,72
1838,Gildeskål,72
4634,Masfjorden,71
4221,Valle,70
5522,Salangen,69
5534,Karlsøy,68
1834,Lurøy,64
4218,Iveland,64
1851,Lødingen,64
5634,Vardø,63
1845,Sørfold,61
5049,Flatanger,60
1811,Bindal,59
1825,Grane,59
4030,Nissedal,57
3124,Aremark,57
3423,Stor-Elvdal,56
5540,Gáivuotna,55
3320,Flå,53
3336,Rollag,52
5042,Lierne,50
5546,Kvænangen,49
3424,Rendalen,49
1827,Dønna,47
1826,Aarborte,47
4619,Eidfjord,46
3429,Folldal,46
1839,Beiarn,46
5046,Høylandet,45
1815,Vega,43
1145,Bokn,43
4224,Åseral,42
4222,Bykle,42
4032,Fyresdal,42
5618,Måsøy,41
4220,Bygland,40
5518,Loabák,39
3450,Etnedal,39
5624,Lebesby,36
3425,Engerdal,36
5020,Osen,36
5616,Hasvik,35
5630,Berlevåg,35
4637,Hyllestad,34
1853,Evenes,34
5626,Gamvik,34
5528,Dyrøy,34
1836,Rødøy,33
4620,Ulvik,33
5052,Leka,29
5514,Ibestad,28
5044,Namsskogan,28
5033,Tydal,28
1859,Flakstad,27
5516,Gratangen,27
1144,Kvitsøy,27
1816,Vevelstad,26
4629,Modalen,25
5636,Unjárga,25
4636,Solund,24
1835,Træna,24
1874,Moskenes,23
1857,Værøy,22
4633,Fedje,20
1856,Røst,18
5614,Loppa,17
5043,Raarvihke,16
1151,Utsira,5
